Key	Speaker Name	Dialog	Portrait ID	Side	Style
test	test	this is test dialog		Left	NONE
intro	Roane	Wow, you really were hard to dig out.	roane_neutral	Right	NONE
intro	Roane	But you’re here now. Welcome to the afterlife. You’re in hell.	roane_neutral	Right	NONE
intro	Roane	And I know that’s really confusing-	roane_neutral	Right	NONE
intro	Ace	Not really.	ace_neutral	Left	NONE
intro	Roane	Oh. Huh.	roane_neutral	Right	NONE
intro	Roane	Weird, because your life was pretty morally average life.	roane_neutral	Right	NONE
intro	Roane	Here, I pulled these from your soul before you woke up. It’s your essence manifested into a tool to get you through the wilds.	roane_neutral	Right	NONE
intro	Roane	I thought it would be something cool like a big gun or maybe a sword, but uh… cards, huh? Is that cool to you?	roane_neutral	Right	NONE
intro	Ace	It doesn’t matter. Pass it here.	ace_neutral	Left	NONE
intro	Roane	Now I tested them out, so let me show you how to do the do.	roane_neutral	Right	NONE
					
re1	Roane	So, how are you enjoying your time in Hell?	roane_neutral	Right	NONE
re1	Ace	It’s perfectly fine.	ace_neutral	Left	NONE
re1	Roane	As in good fine or neutral fine?	roane_neutral	Right	NONE
re1	Ace	It ain’t a thing I’m thinkin about. Just tryin’ to keep moving.	ace_neutral	Left	NONE
re1	Roane	Good luck with that.	roane_neutral	Right	NONE
			ace_neutral	Left	NONE
re2	Roane	So, I’m curious.	roane_neutral	Right	NONE
re2	Ace	‘Bout?	ace_neutral	Left	NONE
re2	Roane	You die, you end up in Hell, but you don’t seem bothered in the slightest… Why?	roane_neutral	Right	NONE
re2	Ace	Why’re you so bothered by it? Ain’t you supposed to be a demon?	ace_neutral	Left	NONE
re2	Roane	Hey, I was just born here. It’s not the same for your kind down here as it is for me.	roane_neutral	Right	NONE
re2	Roane	Besides, can’t I be multifaceted AND a demon?	roane_neutral	Right	NONE
re2	Ace	I guess you can.	ace_neutral	Left	NONE
					
re3	Roane	Can I get an answer now?	roane_neutral	Right	NONE
re3	Ace	About why I thought I'd end up in Hell. Well, I just figured…	ace_neutral	Left	NONE
re3	Ace	I’d be endin’ up here on way or another.	ace_neutral	Left	NONE
re3	Roane	But why?	roane_neutral	Right	NONE
re3	Roane	I’ve lived for what is probably centuries to you. I’ve seen a lot of souls enter hell and most of them were pretty scared.	roane_neutral	Right	NONE
re3	Roane	And I’ve seen some real bad people in my time, but you?	roane_neutral	Right	NONE
re3	Roane	You seemed to live an alright life on Earth.	roane_neutral	Right	NONE
re3	Roane	I just don’t think you should be here.	roane_neutral	Right	NONE
re3	Ace	Well, you ain’t know me that well.	ace_neutral	Left	NONE
re3	Roane	HEY! WAIT! DON’T LEAVE-	roane_neutral	Right	NONE
					
re4	Roane	You ran off last time.	roane_neutral	Right	NONE
re4	Ace	Yeah, you gave me a job to do.	ace_neutral	Left	NONE
re4	Ace	You seem like a philosophical one. Why do you care so much about all this morality stuff?	ace_neutral	Left	NONE
re4	Roane	Contrary to what humans believe, we aren’t exactly all about torture because we love evil or “sin” or whatever it is you tell yourselves.	roane_neutral	Right	NONE
re4	Roane	“The Afterlife”, as you call it, is just a place souls escape to when they pass from your world.	roane_neutral	Right	NONE
re4	Roane	This place existed long before humans started dying, and now we have to figure out what to do with you all. Letting you all run loose in the past like the animals was bad for us.	roane_neutral	Right	NONE
re4	Ace	So now you take to torturin’ folks?	ace_neutral	Left	NONE
re4	Roane	Yeah. Some of them. The bad ones.	roane_neutral	Right	NONE
re4	Ace	And who decides that?	ace_neutral	Left	NONE
re4	Roane	The book of bylaws. It’s called the Compendium of Eternity. Eternity is where you are by the way. I’ll show it to you next time, but we’ve been talking too long so get going.	roane_neutral	Right	NONE
					
re5	Ace	So, you want to tell me about these so-called bylaws?	ace_neutral	Left	NONE
re5	Roane	When human soles started coming to Eternity, things became… difficult.	roane_neutral	Right	NONE
re5	Roane	There were a lot of humans who made a lot of demands, would get aggressive with the people who lived here, that kind of thing.	roane_neutral	Right	NONE
re5	Ace	Sounds about right.	ace_neutral	Left	NONE
re5	Roane	So we devised a system between Heaven and Hell. We would take the particularly bratty and mean souls and keep them here and they would take the more regular and well fleshed out souls.	roane_neutral	Right	NONE
re5	Roane	That way, everyone could do their part to maintain some form of order in Eternity.	roane_neutral	Right	NONE
re5	Ace	And then y’all just decide what’s right and wrong for all time?	ace_neutral	Left	NONE
re5	Roane	Pretty much.	roane_neutral	Right	NONE
re5	Ace	But everyone got their own ideas of right and wrong. You ain’t ever question that?	ace_neutral	Left	NONE
re5	Roane	Not until you came down here. There hadn’t been a reason to as far as I knew. Why were you so sure you would end up here?	roane_neutral	Right	NONE
re5	Ace	Because that’s just how I feel. Now if you’ll excuse me I need to be goin’.	ace_neutral	Left	NONE
re5	Roane	Hey! I wasn’t done with my questions!	roane_neutral	Right	NONE
					
re6	Roane	Okay, you’re back. Now explain it to me.	roane_neutral	Right	NONE
re6	Ace	Explain what?	ace_neutral	Left	NONE
re6	Roane	Why you assumed, despite everything in your life, that you would end up here.	roane_neutral	Right	NONE
re6	Ace	How ‘bout I ask you a question?	ace_neutral	Left	NONE
re6	Roane	This is another diversion, isn’t it?	roane_neutral	Right	NONE
re6	Ace	You know how people on Earth are. We got bigots. People who tell you you ain’t worth livin’ just because of who you are.	ace_neutral	Left	NONE
re6	Ace	Skin, love, man or woman or something altogether different.	ace_neutral	Left	NONE
re6	Roane	Oh yeah, those ones are particularly violent so they end up here-	roane_neutral	Right	NONE
re6	Ace	What ‘bout the non-violent ones? The ones who just say mean things, or even more quietly, just think bad things to themselves? Where do they go?	ace_neutral	Left	NONE
re6	Roane	Uh… I don’t follow.	roane_neutral	Right	NONE
re6	Ace	Humans think bad things all the time. I lived in a world where lots of people thought I wasn’t as deservin’ of things as them just because of who I was.	ace_neutral	Left	NONE
re6	Ace	A lot of em said it, but not all of em.	ace_neutral	Left	NONE
re6	Ace	Do the people who let it happen and hope it keeps happenin’ while they let others do their dirty work get to stay here?	ace_neutral	Left	NONE
re6	Roane	… I… Uh, I don’t know.	roane_neutral	Right	NONE
re6	Ace	Interestin’. Why don’t you mull that over while I get to work.	ace_neutral	Left	NONE
					
re7	Roane	Before you ask, I don’t have the answer for you on what the policy is. I looked.	roane_neutral	Right	NONE
re7	Roane	The Compendium doesn’t have anything on stuff like that.	roane_neutral	Right	NONE
re7	Roane	Human life is complicated, isn’t it. I didn’t realize some of you just thought that kind of stuff. I guess I assumed you all just do what you think.	roane_neutral	Right	NONE
